zone,hour,minute,second,event,demand_water,demand_bread,demand_milk,demand_eggs,demand_snacks,demand_coffee,demand_fruits,demand_vegetables
Z5,12.33888888888889,20,20,normal,38.540714491519346,20.920837225170956,19.371048453901505,21.3625865857801,17.231671762677333,15.668528076188384,14.502625116451126,12.716894570952979
Z3,6.177777777777778,10,40,rain,55.808913653025954,31.742743134369448,37.267850705952156,35.84731713092015,24.43138196286586,28.67343566974781,19.70761479913719,24.911472271213338
Z1,18.5,30,0,rain,65.55609577328067,33.071812131381165,43.31511463892121,36.01502825797817,44.52153305646743,30.507367201105684,24.34488952828111,26.364690184937288
Z1,18.5,30,0,rain,65.5853969018078,33.596792900229616,35.13351388895281,39.88444454306319,43.371241598622674,32.073639845135645,22.514492086824514,21.770039825490308
Z4,15.258333333333333,15,30,rain,54.174138557343774,36.417767979263694,34.26497402678535,33.22390403180378,33.40013841860869,28.75135479423395,23.45958227209106,26.437277628113797
Z6,3.9194444444444443,55,10,weekend,32.90254695399647,16.217225104411092,27.319625230800582,20.67557076301235,25.17734487541639,17.00667822284954,18.282642907426776,12.73445291977363
Z4,21.758333333333333,45,30,weekend,54.69598140539586,34.46475388896842,48.2087223306185,43.36534600665911,29.075052868876277,29.025417036150767,21.84390447751388,23.539518038055917
Z2,3.5972222222222223,35,50,rain,30.943386153189074,16.624649564475487,20.46369606748493,15.547483794479882,16.380992239234434,16.971812640256097,19.516035709052233,17.523927805555868
Z5,12.33888888888889,20,20,rain,50.53714497442821,24.638112808382793,29.764180888919,26.955044450873388,28.074188036498047,21.08735380863341,14.779493653702541,16.27513368892907
Z1,18.5,30,0,normal,58.3843725290905,30.006373266461857,37.52833121127252,32.954109577231115,35.90425067830965,26.959310464193884,21.762482259431305,20.880756488055997
Z5,6.838888888888889,50,20,rain,43.911692080060845,25.615715953459315,30.784331953647165,23.70494396890576,28.665323187668882,25.92998162003323,20.498243001851527,17.956828203568595
