zone,hour,minute,second,event,baseline_water,support_water,demand_water,baseline_bread,support_bread,demand_bread,baseline_milk,support_milk,demand_milk,baseline_eggs,support_eggs,demand_eggs,baseline_snacks,support_snacks,demand_snacks,baseline_coffee,support_coffee,demand_coffee,baseline_fruits,support_fruits,demand_fruits,baseline_vegetables,support_vegetables,demand_vegetables
Krishnagiri,5.694166666666667,41,39,rain,28.037994978054734,0,25.799040552137445,36.90394139758206,0,35.15566368797656,28.0,0,25.948222226383315,43.91159023305815,0,39.492106937867106,39.092342191470394,32,37.816713449976554,20.0,0,19.647527357491054,18.0,0,16.14948942430229,17.0,0,16.022852487712097
Salem,19.4925,29,33,normal,30.991852204279624,15,34.02147983358955,46.51115891623186,37,49.92125575447891,28.0,0,29.50169321991618,42.795009738268384,0,46.30158080867515,39.490013090154434,3,42.801418370735355,20.0,0,22.20569031200641,18.0,0,19.925853806762774,17.0,0,19.149776132376218
Krishnagiri,20.842222222222222,50,32,normal,34.05454940382103,17,36.05458100000993,39.82084190746941,37,41.20297248219701,28.0,0,29.747829937172398,43.91159023305815,0,46.66133677960524,32.33806041486693,7,35.13477734385579,20.0,0,20.651303892866377,18.0,0,19.681381445965833,17.0,0,18.463447845016336
Trichy,2.547222222222222,32,50,normal,32.479306100110314,13,28.428136279202903,42.755118180850474,24,37.541543540983426,28.0,0,24.800025825001036,43.72134429055531,0,37.92818216902221,40.05433803692343,0,34.781808863405246,20.0,0,17.48053473722877,18.0,0,15.789068969486616,17.0,0,14.467003302728946
Tenkasi,14.944444444444445,56,40,weekend,39.97890079277373,6,39.82939635761186,33.21914342462593,16,32.127390212510505,28.0,0,28.987305530493476,46.84848003316055,60,47.77061127531774,27.704370543179156,1,27.61241873953914,20.0,0,20.329528860113953,18.0,0,19.62474428145932,17.0,0,17.070164460268167
Ooty,21.585277777777776,35,7,normal,33.753341488930886,13,36.94319098031922,46.373995039336926,37,50.309456824204524,28.0,0,29.171428396788123,46.91917691378848,0,50.14656324195318,36.06306576188319,4,39.269667018690065,20.0,0,20.890216872406583,18.0,0,19.28203534551734,17.0,0,18.50197178596478
Bodi,21.699722222222224,41,59,rain,35.24301855846298,0,38.132731386844156,43.08852707983893,0,49.39600445286119,28.0,0,30.22499694633646,46.312237496988104,0,49.305008163442295,45.086517299376204,27,50.857294810805335,20.0,0,23.575892717565914,18.0,0,20.15299764908673,17.0,0,19.135086528134288
Namakkal,23.84638888888889,50,47,normal,46.000408795715074,17,39.82059960527728,47.500537005433976,36,41.760085156419045,28.0,0,24.428289263863178,43.77988940216618,0,38.46030880790129,29.12477557085127,4,25.489695863958115,20.0,0,17.099933725025707,18.0,0,16.503193660278875,17.0,0,15.5449182688162
Perambalur,1.6658333333333333,39,57,weekend,40.759418109477394,5,36.44624244402283,39.31380979747918,23,34.19672743095556,28.0,0,25.237976497739098,42.830884456520046,43,38.58286456979839,19.036711661493786,3,17.299426647181424,20.0,0,18.0616840517693,18.0,0,16.385877406267966,17.0,0,14.89234851035466
Nagercoil,22.519444444444442,31,10,weekend,36.76187015471747,8,32.47922259352739,42.983592760115535,16,37.773326429476604,28.0,0,25.873077831491994,43.54560165478784,44,40.58415046466202,22.49218157320404,4,19.24061498244573,20.0,0,17.12668176774486,18.0,0,16.288328190388576,17.0,0,15.392205452653155
Trichy,23.1725,10,21,weekend,31.29414501445612,6,27.801667593718637,39.572696871602524,8,34.66990212586858,28.0,0,26.29607800703005,43.72134429055531,38,39.912178873782146,40.05433803692343,0,35.022385154833486,20.0,0,17.79494466345368,18.0,0,16.248943700126798,17.0,0,15.641642016984024
Salem,4.344444444444444,20,40,rain,30.46411548521254,0,26.65490386471508,41.07025287760748,0,38.08433503781888,28.0,0,25.670397048138874,42.795009738268384,0,37.98483930459808,42.90399215480497,33,40.25784631550903,20.0,0,18.82706961439766,18.0,0,16.052257873486543,17.0,0,15.84541766962196
Dharmapuri,4.301111111111111,18,4,normal,30.821988115774875,13,26.802810022960227,38.085268435163854,35,34.240575366525036,28.0,0,25.496237706969303,47.03003548747523,0,41.4701326422489,43.79800442850418,5,39.40951389922166,20.0,0,18.013967598033773,18.0,0,16.4158631701558,17.0,0,15.577446734813622
Dindigul,20.958333333333332,57,30,normal,38.50338188034666,17,42.59625145430133,44.630455786187014,44,47.99581295533394,28.0,0,30.183763521425877,39.642402141494664,0,42.74221024142095,26.31908254034386,12,27.994384463565055,20.0,0,21.418337607003682,18.0,0,19.0358713637042,17.0,0,18.484871182702566
Kanyakumari,0.008888888888888889,0,32,normal,40.91867763801298,14,35.76732024317746,41.22047902430772,46,35.87765461133073,28.0,0,24.507073609752595,46.56479008021971,0,39.835259673223746,40.049794546320875,8,34.69503669120562,20.0,0,17.939165599612945,18.0,0,15.46401144230651,17.0,0,14.499207648098013
Dharmapuri,10.174999999999999,10,30,rain,39.52700671836661,0,39.14531968069713,38.715080833617264,0,39.665388711799174,28.0,0,26.787608527402167,47.03003548747523,0,46.510499409878854,40.070630429811445,20,41.84561818317628,20.0,0,20.613430816490887,18.0,0,16.80362976062892,17.0,0,17.856313246955175
Karur,10.313333333333334,18,48,weekend,28.9237264257748,7,28.2354377235302,32.608115607663365,14,32.95317702701636,28.0,0,29.415619763170707,44.75094055807841,51,46.3991201904468,44.679762548690945,0,44.37651107906499,20.0,0,19.924841697980657,18.0,0,18.518984028971488,17.0,0,17.811967605032944
Viluppuram,1.3586111111111112,21,31,normal,32.311841906357756,18,28.489387022272986,42.33646153154534,37,37.3117781558473,28.0,0,24.37926572576009,42.84054514959321,0,37.225365091047664,27.330810800132806,3,23.35101150458273,20.0,0,17.293266335950648,18.0,0,16.137317202551305,17.0,0,14.558463171394248
Salem,10.822777777777777,49,22,weekend,29.93637876614546,8,28.694082074270536,35.6293468389831,15,34.29256563732258,28.0,0,28.371792823881826,42.795009738268384,52,43.33230699409827,32.0154388677313,4,31.16936308655905,20.0,0,19.963425812135736,18.0,0,18.069485467604345,17.0,0,16.872287302625335
Trichy,5.596388888888889,35,47,normal,32.479306100110314,13,30.18809981988052,42.755118180850474,24,39.10481155751572,28.0,0,25.45613324271338,43.72134429055531,0,39.95231156381878,40.05433803692343,0,36.959965724732335,20.0,0,17.814027194944195,18.0,0,17.032664708295872,17.0,0,15.556016034636874
Karur,19.531944444444445,31,55,weekend,28.9237264257748,7,31.692141489752004,32.608115607663365,14,35.19155897035656,28.0,0,31.452467886290748,44.75094055807841,51,50.74757459156859,44.679762548690945,0,47.721129128149634,20.0,0,22.408203961698824,18.0,0,20.383485920206613,17.0,0,19.749979513444234
